trial_id,radius,convergence_time,final_state,network_features,belief_history
0,0.25,460,defection,"{'n_nodes': 50, 'radius': 0.25, 'n_edges': 176, 'max_degree': 12, 'mean_degree': 7.04, 'n_triangles': 249, 'is_connected': True}","[[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.35, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.35, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5]]"
1,0.25,400,defection,"{'n_nodes': 50, 'radius': 0.25, 'n_edges': 178, 'max_degree': 13, 'mean_degree': 7.12, 'n_triangles': 250, 'is_connected': True}","[[0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.35, 0.35, 0.35, 0.5, 0.35, 0.5, 0.35, 0.35, 0.5, 0.5, 0.35, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5]]"
2,0.25,541,defection,"{'n_nodes': 50, 'radius': 0.25, 'n_edges': 169, 'max_degree': 11, 'mean_degree': 6.76, 'n_triangles': 224, 'is_connected': True}","[[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5]]"
3,0.25,382,defection,"{'n_nodes': 50, 'radius': 0.25, 'n_edges': 174, 'max_degree': 13, 'mean_degree': 6.96, 'n_triangles': 229, 'is_connected': True}","[[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.35, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5]]"
4,0.25,696,defection,"{'n_nodes': 50, 'radius': 0.25, 'n_edges': 195, 'max_degree': 14, 'mean_degree': 7.8, 'n_triangles': 301, 'is_connected': True}","[[0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.35, 0.5, 0.5, 0.35, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5]]"
5,0.25,333,defection,"{'n_nodes': 50, 'radius': 0.25, 'n_edges': 198, 'max_degree': 16, 'mean_degree': 7.92, 'n_triangles': 366, 'is_connected': True}","[[0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.35, 0.35, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35]]"
6,0.25,499,defection,"{'n_nodes': 50, 'radius': 0.25, 'n_edges': 173, 'max_degree': 12, 'mean_degree': 6.92, 'n_triangles': 256, 'is_connected': True}","[[0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.35, 0.35, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5]]"
7,0.25,352,defection,"{'n_nodes': 50, 'radius': 0.25, 'n_edges': 182, 'max_degree': 16, 'mean_degree': 7.28, 'n_triangles': 308, 'is_connected': True}","[[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.35, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5]]"
8,0.25,735,defection,"{'n_nodes': 50, 'radius': 0.25, 'n_edges': 199, 'max_degree': 12, 'mean_degree': 7.96, 'n_triangles': 305, 'is_connected': True}","[[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.35, 0.5, 0.35, 0.5, 0.5, 0.5, 0.35, 0.35, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]]"
9,0.25,344,defection,"{'n_nodes': 50, 'radius': 0.25, 'n_edges': 205, 'max_degree': 12, 'mean_degree': 8.2, 'n_triangles': 334, 'is_connected': True}","[[0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.5, 0.35, 0.5, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.35, 0.35, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]]"
